ООО НВ ЮТс-04367-25 29.08.2025 Гасымов 8089кг.pdf
('SU003598шт', ['280,00', '470.400'], '1_680,000')
('SU003600шт', ['140,00', '235.200'], '840,000')
('SU003532шт', ['84,00', '607.320'], '840,000')
('SU003385шт', ['84,00', '607.320'], '840,000')
('SU003529шт', ['84,00', '607.320'], '840,000')
('SU003591шт', ['210,00', '802.200'], '2_520,000')
('SU003607шт', ['210,00', '802.200'], '2_520,000')
('SU003887шт', ['140,00', '434.000'], '1_680,000')
('SU003889шт', ['140,00', '434.000'], '1_680,000')
('SU003884шт', ['210,00', '651.000'], '2_520,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003384шт', ['210,00', '676.200'], '2_520,000')
('SU003576шт', ['210,00', '676.200'], '2_520,000')
('SU003872шт', ['140,00', '366.800'], '1_680,000')
('SU003870шт', ['140,00', '366.800'], '1_680,000')

