Перенос данных из Строка - 28; наименование - Пельмени Бульмени Нейробуст с мясом ТМ Горячая штучка ТС Бульмени ГШ сфера флоу-пак 0,6 кг.  ПОКОМ ==> 
	Строка - 117; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени ПГП/P004909/","Пельмени ПГП «Пельмени Бульмени Нейробуст с мясом» Фикс.вес 0,6 сфера ТМ «Горячая штучка»"), в количестве 12
Перенос данных из Строка - 29; наименование - Пельмени Бульмени с говядиной и свининой Наваристые 5кг Горячая штучка ВЕС  ПОКОМ ==> 
	Строка - 70; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени вес ГШ/Пельмени/P003697/","Пельмени «Бульмени с говядиной и свининой Наваристые» Весовые Сфера ТМ «Горячая штучка» 5 кг"), в количестве 276
Перенос данных из Строка - 30; наименование - Пельмени Бульмени с говядиной и свининой СЕВЕРНАЯ КОЛЛЕКЦИЯ 0,7кг ТМ Горячая штучка сфера  ПОКОМ ==> 
	Строка - 109; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004825/","Пельмени «Бульмени с говядиной и свининой Северная коллекция» Фикс.вес 0,7 сфера ТМ «Горячая штучка»"), в количестве 36
Перенос данных из Строка - 31; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка. флоу-пак сфера 0,4 кг ПОКОМ ==> 
	Строка - 103; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004474/","Пельмени «Бульмени с говядиной и свининой» 0,4 Сфера ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 32; наименование - Пельмени Бульмени с говядиной и свининой ТМ Горячая штучка. флоу-пак сфера 0,7 кг ПОКОМ ==> 
	Строка - 104; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004345/","Пельмени «Бульмени с говядиной и свининой» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 168
Перенос данных из Строка - 33; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка. флоу-пак сфера 0,4 кг. ПОКОМ ==> 
	Строка - 106; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004444/","Пельмени «Бульмени со сливочным маслом» Фикс.вес 0,4 ТМ «Горячая штучка»"), в количестве 24
Перенос данных из Строка - 34; наименование - Пельмени Бульмени со сливочным маслом ТМ Горячая штучка.флоу-пак сфера 0,7 кг. ПОКОМ ==> 
	Строка - 107; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Горячая штучка/Бульмени ГШ/Пельмени/P004346/","Пельмени «Бульмени со сливочным маслом» 0,7 Сфера ТМ «Горячая штучка»"), в количестве 240
Перенос данных из Строка - 38; наименование - Пельмени Мясные с говядиной ТМ Стародворье сфера флоу-пак 1 кг  ПОКОМ ==> 
	Строка - 200; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Стародворские/Пельмени/P005048/","Пельмени «Мясные с говядиной» Фикс.вес 1 сфера ТМ «Стародворье»"), в количестве 12
Перенос данных из Строка - 39; наименование - Пельмени Отборные из свинины и говядины 0,9 кг ТМ Стародворье ТС Медвежье ушко  ПОКОМ ==> 
	Строка - 193; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/Стародворье/Медвежье ушко/Пельмени/P005107/","Пельмени «Отборные с говядиной и свининой» 0,9 псевдозащип ТМ «Медвежье ушко»"), в количестве 96
Перенос данных из Строка - 40; наименование - Пельмени С говядиной и свининой, ВЕС, сфера пуговки Мясная Галерея  ПОКОМ ==> 
	Строка - 162; наименование - =HYPERLINK("https://abi.ru/products/Замороженные/No Name/No Name ЗПФ/Пельмени/P004472/","Пельмени «Пуговки с говядиной и свининой» Весовые Сфера ТМ «No Name» 5 кг"), в количестве 96
Перенос данных из Строка - 41; наименование - Пельмени Со свининой и говядиной ТМ Особый рецепт Любимая ложка 1,0 кг  ПОКОМ ==> 
