ООО ЛП Тс004690-26 11.01.2026 Добрилко 3015кг.pdf Пушкарный +
('SU003288шт', ['2,00', '4.060'], '12,000')
('SU002835кг', ['1,00', '8.468'], '7,986')
('SU002830кг', ['5,00', '55.820'], '53,770')
('SU001523кг', ['8,00', '46.048'], '42,864')
('SU001718шт', ['1,00', '2.930'], '6,000')
('SU002769шт', ['1,00', '2.210'], '6,000')
('SU002928кг', ['8,00', '89.058'], '85,778')
('SU002827шт', ['3,00', '14.070'], '18,000')
('SU002833кг', ['3,00', '33.622'], '32,392')
('SU002735шт', ['2,00', '5.140'], '12,000')
('SU001721кг', ['5,00', '43.364'], '40,954')
('SU001720шт', ['2,00', '5.860'], '12,000')
('SU002983шт', ['2,00', '6.800'], '16,000')
('SU002985шт', ['3,00', '9.168'], '24,000')
('SU002984шт', ['1,00', '2.896'], '8,000')
('SU002312шт', ['5,00', '20.950'], '50,000')
('SU004041кг', ['3,00', '13.720'], '13,024')
('SU000664кг', ['3,00', '13.554'], '12,936')
('SU004044кг', ['3,00', '13.790'], '13,094')
('SU000097кг', ['1,00', '9.600'], '9,070')
('SU004047кг', ['3,00', '13.860'], '13,164')
('SU004086шт', ['2,00', '4.912'], '16,000')
('SU002756кг', ['5,00', '22.824'], '21,694')
('SU002876кг', ['2,00', '9.100'], '8,648')
('SU002847кг', ['5,00', '22.831'], '21,701')
('SU004026шт', ['1,00', '1.090'], '10,000')
('SU003997шт', ['5,00', '9.680'], '30,000')
('SU003829шт', ['5,00', '9.680'], '30,000')
('SU003178шт', ['1,00', '1.040'], '10,000')
('SU002848шт', ['5,00', '11.180'], '30,000')
('SU003046шт', ['5,00', '9.200'], '30,000')
('SU002943кг', ['5,00', '28.419'], '27,169')
('SU002945кг', ['5,00', '28.249'], '27,089')
('SU002947кг', ['5,00', '28.398'], '27,148')
('SU002944шт', ['3,00', '5.808'], '18,000')
('SU002942шт', ['3,00', '5.808'], '18,000')
('SU002946шт', ['3,00', '5.808'], '18,000')
('SU002948шт', ['3,00', '5.826'], '18,000')
('SU002843кг', ['2,00', '16.877'], '15,913')
('SU002845кг', ['2,00', '17.001'], '16,037')
('SU002725кг', ['2,00', '18.088'], '17,124')
('SU002842шт', ['1,00', '2.630'], '6,000')
('SU002618шт', ['1,00', '2.636'], '6,000')
('SU002621шт', ['1,00', '2.630'], '6,000')
('SU002686шт', ['1,00', '2.630'], '6,000')
('SU002844шт', ['1,00', '2.600'], '6,000')
('SU002759шт', ['1,00', '2.630'], '6,000')
('SU003389кг', ['10,00', '112.510'], '108,510')
('SU003391кг', ['5,00', '56.535'], '54,485')
('SU003387кг', ['10,00', '110.975'], '107,175')
('SU003390шт', ['4,00', '16.760'], '40,000')
('SU003388шт', ['4,00', '16.760'], '40,000')
('SU002801шт', ['3,00', '7.890'], '18,000')
('SU002799шт', ['3,00', '7.872'], '18,000')
('SU002698шт', ['5,00', '9.080'], '30,000')
('SU003394кг', ['10,00', '111.638'], '107,538')
('SU003396кг', ['5,00', '55.685'], '53,635')
('SU001822кг', ['10,00', '45.362'], '43,102')
('SU002579шт', ['5,00', '11.180'], '30,000')
