ООО НВ Тс016516-26 29.01.2026 Антонов 7969кг.pdf
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003600шт', ['140,00', '235.200'], '840,000')
('SU003532шт', ['42,00', '303.660'], '420,000')
('SU003385шт', ['42,00', '303.660'], '420,000')
('SU003680шт', ['70,00', '96.600'], '420,000')
('SU003677шт', ['140,00', '193.200'], '840,000')
('SU003676шт', ['70,00', '96.600'], '420,000')
('SU003593шт', ['70,00', '267.400'], '840,000')
('SU003591шт', ['210,00', '802.200'], '2_520,000')
('SU003607шт', ['210,00', '802.200'], '2_520,000')
('SU003889шт', ['140,00', '434.000'], '1_680,000')
('SU003892шт', ['105,00', '325.500'], '1_260,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003884шт', ['70,00', '217.000'], '840,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003578шт', ['210,00', '676.200'], '2_520,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003944шт', ['210,00', '678.720'], '2_520,000')
('SU003576шт', ['210,00', '678.720'], '2_520,000')
('SU002177шт', ['72,00', '152.640'], '576,000')
('SU003601шт', ['140,00', '260.400'], '840,000')
('SU003020кг', ['84,00', '523.320'], '504,000')

