ООО КСК ТРЕЙД Тс202336-26 21.09.2026 Крым 15191кг (Дмитриев).pdf
('SU004022шт', ['36,00', '238.680'], '288,000')
('SU003975шт', ['60,00', '445.800'], '480,000')
('SU003965шт', ['12,00', '79.560'], '96,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003385шт', ['96,00', '694.080'], '960,000')
('SU003530шт', ['12,00', '79.560'], '192,000')
('SU003677шт', ['14,00', '19.320'], '84,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['396,00', '2.064.348'], '1_980,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003887шт', ['28,00', '86.800'], '336,000')
('SU004207шт', ['56,00', '173.600'], '672,000')
('SU004257шт', ['28,00', '100.240'], '336,000')
('SU004210шт', ['70,00', '217.000'], '840,000')
('SU002293шт', ['28,00', '123.760'], '392,000')
('SU004213шт', ['14,00', '32.760'], '336,000')
('SU003717шт', ['84,00', '607.320'], '840,000')
('SU004078шт', ['12,00', '79.560'], '192,000')
('SU003527шт', ['60,00', '397.800'], '960,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003698шт', ['24,00', '173.520'], '240,000')
('SU003528шт', ['48,00', '318.240'], '768,000')
('SU003459шт', ['180,00', '1.301.400'], '1_800,000')
('SU003845шт', ['12,00', '74.760'], '120,000')
('SU004031шт', ['84,00', '151.200'], '504,000')
('SU004034шт', ['28,00', '50.400'], '168,000')
('SU004097шт', ['56,00', '97.440'], '336,000')
('SU004032шт', ['140,00', '252.000'], '840,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU004234шт', ['140,00', '450.800'], '1_680,000')
('SU004230шт', ['28,00', '90.160'], '336,000')
('SU004226шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['42,00', '110.040'], '504,000')
('SU004219шт', ['42,00', '110.040'], '504,000')
('SU004223шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU004038шт', ['156,00', '815.880'], '780,000')
('SU003797шт', ['56,00', '180.320'], '672,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['56,00', '180.320'], '672,000')
('SU004023шт', ['28,00', '83.440'], '336,000')
('SU003930шт', ['70,00', '208.600'], '840,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU003935шт', ['84,00', '439.320'], '420,000')
('SU002644кг', ['228,00', '1.420.440'], '1_368,000')
('SU003010кг', ['204,00', '1.066.920'], '1_020,000')
('SU003025кг', ['56,00', '135.520'], '125,440')
('SU004361кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU004375кг', ['112,00', '356.160'], '336,000')

