ООО КСК ТРЕЙД Тс191109-25 22.09.2025 Кива 8216кг.pdf
('SU003598шт', ['112,00', '188.160'], '672,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['48,00', '347.040'], '480,000')
('SU003677шт', ['28,00', '38.640'], '168,000')
('SU003676шт', ['14,00', '19.320'], '84,000')
('SU002595кг', ['156,00', '813.228'], '780,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['14,00', '53.480'], '168,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003889шт', ['56,00', '173.600'], '672,000')
('SU003884шт', ['42,00', '130.200'], '504,000')
('SU003717шт', ['24,00', '173.520'], '240,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003698шт', ['12,00', '86.760'], '120,000')
('SU003945шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['56,00', '180.320'], '672,000')
('SU003580шт', ['98,00', '315.560'], '1_176,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU003872шт', ['28,00', '73.360'], '336,000')
('SU003870шт', ['28,00', '73.360'], '336,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU003797шт', ['84,00', '270.480'], '1_008,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['56,00', '180.320'], '672,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU002066шт', ['24,00', '178.320'], '192,000')
('SU003935шт', ['48,00', '251.040'], '240,000')
('SU003841шт', ['24,00', '130.320'], '192,000')
('SU003708шт', ['14,00', '36.680'], '168,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['96,00', '598.080'], '576,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003025кг', ['14,00', '33.880'], '31,360')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

